"model","F_statistic","p_value"
"ols_sdg_spi",77.8546470801395,1.94691970297421e-82
"fd_sdg_spi",15.6382184879039,3.82453115190121e-17
"fe_sdg_spi",6.67117532453647,6.08206533241714e-07
