country_name,country_code,year,sdg_overall,spi_comp,di_score,sci_overall,eiu_regime_type,eiu_regch_event,eiu_dem_ep,eiu_aut_ep,log_gdppc,income_level_recoded,p1_use,p2_services,p3_products,p4_sources,p5_infra,goal1,goal2,goal3,goal4,goal5,goal6,goal7,goal8,goal9,goal10,goal11,goal12,goal13,goal14,goal15,goal16,goal17,elect_dem,aut_ep,dem_ep,regime_type_4,regch_event,income_level,di_score_lag1,di_score_lag2,spi_comp_lag1,spi_comp_lag2,log_gdppc_lag1,log_gdppc_lag2,cen_spi_comp,cen_di_score,cen_log_gdppc,cen_spi_comp_lag1,cen_spi_comp_lag2,cen_di_score_lag1,cen_di_score_lag2,cen_spi_comp_lag1_sq,cen_spi_comp_lag1_cub,cen_spi_comp_lag2_sq,cen_spi_comp_lag2_cub,cen_di_score_lag1_sq,cen_di_score_lag1_cub,cen_di_score_lag2_sq,cen_di_score_lag2_cub,cen_log_gdppc_sq,cen_log_gdppc_cub,ert_autocracy,ert_democracy,ert_aut_ep,ert_dem_ep,ert_regch_event,ert_has_aut_ep,ert_has_dem_ep,ert_has_both,ert_has_neither,ert_total_aut_ep,ert_total_dem_ep,ert_democratized,ert_autocratized,ert_stable,eiu_regime_type_lag1,di_score_diff,di_score_pct_diff,di_score_diff_3yr,di_score_pct_diff_3yr,eiu_has_aut_ep,eiu_has_dem_ep,eiu_has_both,eiu_has_neither,eiu_total_aut_ep,eiu_total_dem_ep,eiu_democratized,eiu_autocratized,eiu_stable,eiu_dem_event_time,eiu_aut_event_time,annual_change,episode_id,episode_start_year,cumulative_change
Afghanistan,AFG,2016,44.3111464935065,39.39625,2.55,51.1111,0,0,0,0,6.25782507663006,0,70,6.7333333333333325,54.80625000000001,25.441666666666663,40,30.5965,37.96257142857143,34.53221428571428,38.51300000000001,19.68175,39.9494,34.974,44.31657142857143,9.602999999999998,NA,34.15325,95.29428571428572,98.801,NA,60.7642,47.80645454545454,37.719,0.352,1,0,1,0,L,2.55,2.55,NA,NA,6.337833595469902,NA,-13.010104166666665,0.612222222222222,0.11498095543164322,NA,NA,0.8322222222222222,NA,NA,NA,NA,NA,0.6925938271604938,0.5763919739368998,NA,NA,0.013220620111973523,0.0015201195318735137,1,0,1,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,0,NA,0
Afghanistan,AFG,2017,45.02525269841271,44.751250000000006,2.55,51.1111,0,0,0,0,6.264292664209509,0,70,24.03333333333333,70.43125,19.291666666666664,40,30.4905,36.48685714285714,35.37857142857143,39.8375,20.26575,41.3612,35.21225,45.72128571428571,10.34385714285714,NA,34.355,94.96828571428571,98.85733333333332,NA,65.26140000000001,47.666,39.173,0.357,1,0,1,0,L,2.55,2.55,39.39625,NA,6.25782507663006,6.337833595469902,-7.655104166666661,0.612222222222222,0.12144854301109209,-13.010104166666665,NA,0.612222222222222,0.8322222222222222,169.2628104275173,-2202.126795204753,NA,NA,0.3748160493827158,0.22947071467764035,0.6925938271604938,0.5763919739368998,0.014749748599517085,0.0017913354771912462,1,0,1,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,0,0,NA,0
Afghanistan,AFG,2018,45.5087805916306,52.01833333333333,2.97,50,0,0,1,0,6.197130697347013,0,70,59.9,68.75,21.441666666666663,40,29.9595,40.62785714285714,36.94785714285714,41.0835,21.1835,42.2046,33.934,46.56285714285714,11.10228571428571,NA,33.17775,95.04757142857144,98.61066666666666,NA,65.26140000000001,45.93736363636364,40.991,0.354,1,0,1,0,L,2.97,2.97,44.751250000000006,39.39625,6.264292664209509,6.25782507663006,-0.3880208333333357,1.0322222222222224,0.05428657614859578,-7.655104166666661,-13.010104166666665,0.612222222222222,0.612222222222222,58.600619802517265,-448.59384881949876,169.2628104275173,-2202.126795204753,0.3748160493827158,0.22947071467764035,0.3748160493827158,0.22947071467764035,0.002947032349937288,1.5998429607724573e-4,1,0,1,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,0.4200000000000004,1,2018,0.4200000000000004
Afghanistan,AFG,2019,46.17175396825397,51.929583333333326,2.85,50,0,0,1,0,6.207789915953014,0,70,59.9,68.30624999999999,21.441666666666663,40,30.3085,39.651,36.42878571428572,42.9035,23.89,44.7332,35.741,46.46057142857143,11.28371428571429,NA,35.3,95.07357142857144,98.54566666666666,NA,65.2212,46.135,40.9006,0.356,1,0,1,0,L,2.85,2.85,52.01833333333333,44.751250000000006,6.197130697347013,6.264292664209509,-0.47677083333334025,0.9122222222222223,0.06494579475459705,-0.3880208333333357,-7.655104166666661,1.0322222222222224,0.612222222222222,0.15056016710069628,-0.05842048150521845,58.600619802517265,-448.59384881949876,1.065482716049383,1.0998149368998633,0.3748160493827158,0.22947071467764035,0.004217956256306246,2.73938521305934e-4,1,0,1,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,-0.1200000000000001,1,2018,0.30000000000000027
Afghanistan,AFG,2020,47.51324275613275,55.559999999999995,2.85,57.7778,0,0,0,0,6.235952797682621,0,80,59.43333333333334,72.15,21.21666666666667,45,28.626,38.39371428571428,37.28164285714286,42.9035,26.453,48.9904,35.94125,46.86057142857143,11.22714285714286,NA,35.78,95.31857142857145,98.85466666666667,NA,77.5108,45.49918181818182,43.0582,0.361,1,0,1,0,L,2.85,2.85,51.929583333333326,52.01833333333333,6.207789915953014,6.197130697347013,3.1536458333333286,0.9122222222222223,0.09310867648420373,-0.47677083333334025,-0.3880208333333357,0.9122222222222223,1.0322222222222224,0.2273104275173677,-0.10837498195281324,0.15056016710069628,-0.05842048150521845,0.8321493827160494,0.7591051591220852,1.065482716049383,1.0998149368998633,0.008669225636640113,8.071801251704894e-4,1,0,1,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,0,0,NA,0
Afghanistan,AFG,2021,46.24304417027417,59.1775,0.32,NA,0,0,0,1,5.876323620162618,0,80,59.43333333333334,78.63749999999999,22.816666666666663,55.00000000000001,19.606,37.72471428571428,34.98378571428572,35.23,28.87875,49.83239999999999,36.59,45.14028571428571,11.19714285714286,NA,34.3705,95.46071428571427,98.89633333333336,NA,77.5108,44.73763636363637,43.4866,0.157,1,0,1,0,L,0.32,0.32,55.559999999999995,51.929583333333326,6.235952797682621,6.207789915953014,6.771145833333335,-1.6177777777777778,-0.2665205010357985,3.1536458333333286,-0.47677083333334025,0.9122222222222223,0.9122222222222223,9.945482042100664,31.364528002562206,0.2273104275173677,-0.10837498195281324,0.8321493827160494,0.7591051591220852,0.8321493827160494,0.7591051591220852,0.07103317747237307,-0.018931798050101666,1,0,1,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,-2.5300000000000002,2,2021,-2.5300000000000002
Afghanistan,AFG,2022,45.45958028860028,59.32833333333334,0.32,NA,0,0,0,1,5.878467034797148,0,80,60,74.15,27.491666666666664,55.00000000000001,16.794,37.59271428571429,35.86871428571429,35.23,17.53875,51.0218,36.59,42.85857142857143,16.60585714285714,NA,34.50975,95.50357142857142,98.91466666666666,NA,77.4748,41.9039090909091,43.4866,0.079,1,0,0,0,L,0.32,0.32,59.1775,55.559999999999995,5.876323620162618,6.235952797682621,6.921979166666674,-1.6177777777777778,-0.2643770864012689,6.771145833333335,3.1536458333333286,-1.6177777777777778,0.9122222222222223,45.84841589626739,310.4463102609448,9.945482042100664,31.364528002562206,2.617204938271605,-4.234055989026063,0.8321493827160494,0.7591051591220852,0.069895243814024,-0.018478700912857977,1,0,1,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,0,2,2021,-2.5300000000000002
Afghanistan,AFG,2023,48.23620369238604,57.08958333333334,0.26,NA,0,0,0,1,6.029981688533866,0,66.60000000000001,60,76.35625,27.491666666666664,55.00000000000001,5.1265,37.59271428571429,36.39814285714287,35.23,17.53875,51.1754,36.59,41.59699999999999,16.12342857142857,NA,34.50975,95.54071428571427,98.91466666666666,NA,77.4748,41.42290909090909,43.4866,0.075,1,0,0,0,L,0.26,0.26,59.32833333333334,59.1775,5.878467034797148,5.876323620162618,4.6832291666666706,-1.6777777777777778,-0.1128624326645511,6.921979166666674,6.771145833333335,-1.6177777777777778,-1.6177777777777778,47.91379558376746,331.658294826764,45.84841589626739,310.4463102609448,2.617204938271605,-4.234055989026063,2.617204938271605,-4.234055989026063,0.01273792870696033,-0.0014376336209751626,1,0,1,0,0,1,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,-0.06,2,2021,-2.5900000000000003
Angola,AGO,2016,52.05097939266616,47.39541666666668,3.4,42.22216667,0,0,0,0,7.499950512405418,1,80,7.666666666666666,70.44375000000001,38.866666666666674,40,48.6075,55.37287500000001,32.67207142857143,45.97875000000001,49.51075,52.759,37.46375,57.22842857142858,16.65171428571428,39.4355,43.6685,93.27042857142855,92.371,68.51,63.3374,40.49818181818182,47.5308,0.309,0,0,1,0,LM,3.4,3.4,NA,NA,8.075241244344893,NA,-8.87442708333333,-0.2533333333333334,-0.2193869723145241,NA,NA,-0.30333333333333323,NA,NA,NA,NA,NA,0.09201111111111104,-0.027910037037037008,NA,NA,0.048130643621333756,-0.010559236179633774,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,NA,0,NA,0
Angola,AGO,2017,52.05159449325184,48.68958333333334,3.62,45.5555,0,0,1,0,7.798629618320398,1,70,24.4,70.88124999999998,38.16666666666667,40,42.324,55.007125,33.22457142857143,45.97875000000001,50.41425,52.87239999999999,39.25925,57.15785714285715,17.16057142857143,39.4355,44.93975,93.08785714285716,92.49366666666668,69.18466666666667,63.3374,40.51809090909091,48.4814,0.323,0,0,1,0,LM,3.62,3.62,47.39541666666668,NA,7.499950512405418,8.075241244344893,-7.580260416666668,-0.033333333333333215,0.07929213360045573,-8.87442708333333,NA,-0.2533333333333334,-0.30333333333333323,78.75545605740012,-698.9095521960596,NA,NA,0.06417777777777782,-0.016258370370370385,0.09201111111111104,-0.027910037037037008,0.00628724245091252,4.985288683962123e-4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NA,NA,0.2200000000000002,1,2017,0.2200000000000002
