"country_name.x","country_code","year","sdg_overall","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal14","goal15","goal16","goal17","country_name.y","spi_comp","p1_use","p2_services","p3_products","p4_sources","p5_infra","country_name.x.x","sci_overall","sci_method","sci_periodicity","sci_source","country_name.y.y","regime_type","regime_type_amb","elect_dem","lib_dem","part_dem","delib_dem","egal_dem","freefair","accountability","vt_account","hz_account","diag_account","academ_free","freexp_altinfo","gdp","gdp_pc","population","stat_yb_cov","stat_yb_pub","census","stat_agency"
"Guatemala","GTM",2019,59.1172053221289,74.676,41.33375,69.9836428571429,73.95625,47.664,69.0944,55.36475,67.6144285714286,26.2692857142857,20.704,61.27425,90.181,56.0996666666667,53.589,45.3784,56.172,"Guatemala",61.86625,80,62.1,73.93125,58.3,35,"Guatemala",67.7778,50,93.3334,60,"Guatemala",2,6,0.607,0.425,0.355,0.338,0.239,0.659,0.859,0.902,0.56,0.843,0.802,0.737,12842.36,7.132,16604026,NA,NA,NA,NA
"Guyana","GUY",2019,67.7860176609849,92.518,66.968375,67.043,90.40425,60.03625,69.891,59.5265,70.6975,31.2896666666667,NA,84.7903333333334,85.9106666666667,37.6634,91.71675,57.7140909090909,62.211,"Guyana",46.3195833333333,70,57.4333333333333,46.13125,33.0333333333333,25,"Guyana",50,30,70,50,"Guyana",2,6,0.65,0.443,0.392,0.465,0.481,0.685,0.953,0.968,-0.09,1.169,0.753,0.831,934.555,11.027,782775,NA,NA,NA,NA
"Honduras","HND",2019,61.9472528838808,66.5425,50.171625,72.178,60.67175,60.233,72.8498,60.248,67.8732857142857,30.9388571428571,20.845,61.17175,91.1942857142857,62.3741666666667,71.4742,41.4985454545455,66.6942,"Honduras",56.84625,70,62.3666666666667,66.85625,45.0083333333333,40,"Honduras",56.6667,40,90.0001,40,"Honduras",1,3,0.373,0.234,0.253,0.264,0.155,0.171,0.415,0.319,-0.346,0.868,0.872,0.66,4926.058,4.864,9746115,NA,NA,NA,NA
"Croatia","HRV",2019,81.4279691876751,99.284,73.925,87.6377857142857,98.37475,62.2005,88.3896,82.48725,80.0851428571429,72.2895714285714,95.528,92.944,67.9751428571429,84.8573333333333,88.0496,72.7008,53.597,"Croatia",70.7941666666667,90,50.7666666666667,57.2875,65.9166666666667,90,"Croatia",81.11113333,80,83.3334,80,"Croatia",2,6,0.742,0.623,0.522,0.551,0.583,0.905,1.237,1.334,1.204,0.925,0.85,0.795,10274.587,23.442,4065253,NA,NA,NA,NA
"Haiti","HTI",2019,52.3015834988541,46.082,54.6575,42.21,68.96,44.0495,53.4922,23.8375,56.7514285714286,25.7111666666667,47.251,37.2045,93.4738,65.0046,46.7328,39.5000909090909,45.6945,"Haiti",34.6795833333333,60,19.6666666666667,51.23125,22.5,20,"Haiti",46.66666667,20,70,50,"Haiti",1,3,0.4,0.233,0.216,0.249,0.117,0.237,0.496,0.368,0.498,0.694,0.687,0.792,1918.957,1.656,11263079,NA,NA,NA,NA
"Hungary","HUN",2019,79.6720105935731,98.781,70.0555,84.5166153846154,92.857,63.28775,86.8262,73.64275,77.71,76.2998571428571,92.729,96.21,67.843,NA,86.1254,72.1823636363636,52.6344,"Hungary",85.1641666666667,100,86.8666666666667,69.0375,69.9166666666667,100,NA,NA,NA,NA,NA,"Hungary",1,4,0.472,0.368,0.319,0.274,0.334,0.632,0.53,0.692,0.463,0.361,0.431,0.57,27261.533,25.834,9771141,NA,NA,NA,NA
"Indonesia","IDN",2019,67.9371743697479,80.6825,62.66825,66.8702142857143,91.473,60.715,68.6122,63.4865,74.5235714285714,48.543,62.681,53.907,87.4234285714286,69.2501666666667,50.3236,67.1034,54.6318,"Indonesia",72.2025,100,87.3333333333333,74.8875,43.7916666666667,55,"Indonesia",88.8889,90,96.6667,80,"Indonesia",2,6,0.601,0.462,0.398,0.516,0.359,0.717,1.04,1.097,0.649,0.998,0.727,0.812,296631.287,10.441,270625567,NA,NA,NA,NA
"India","IND",2019,61.5722544817927,84.864,50.51625,63.9547857142857,78.202,36.035,57.9938,63.5445,74.3255714285714,49.7068571428571,39.4365,54.797,83.1804285714286,62.1938333333333,45.8582,55.5088,52.5018,"India",67.3704166666667,80,87.9666666666667,59.99375,53.8916666666667,55,"India",75.55556667,80,86.6667,60,"India",1,3,0.433,0.325,0.271,0.297,0.227,0.543,0.551,0.789,0.585,0.179,0.329,0.522,966226.321,6.789,1366417756,NA,NA,NA,NA
"Ireland","IRL",2019,77.1223153532742,99.824,69.1625,94.8207692307693,98.83,75.756,77.463,74.2805,79.7682857142857,85.253,89.727,95.8695,28.1698333333333,72.4211666666667,72.1888,88.7752727272727,54.9014,"Ireland",85.3775,90,94.7333333333333,74.1125,68.0416666666667,100,NA,NA,NA,NA,NA,"Ireland",3,9,0.892,0.825,0.634,0.802,0.779,0.939,1.753,1.446,1.641,1.805,0.894,0.972,40070.106,75.467,4934340,NA,NA,NA,NA
"Iran, Islamic Rep.","IRN",2019,68.1812423669468,93.1885,64.489625,80.0544285714286,79.87025,44.452,55.289,65.01425,70.3735714285714,60.9847142857143,60.9395,69.2483333333333,83.1797142857143,79.9948333333333,66.5302,60.6109,51.9458,"Iran, Islamic Rep.",57.3583333333333,80,59.8,51.625,60.3666666666667,35,"Iran, Islamic Rep.",78.8889,70,86.6667,80,"Iran",1,3,0.183,0.123,0.044,0.145,0.167,0.373,-0.388,0.145,0.005,-0.74,0.112,0.19,84938.029,9.748,82913893,NA,NA,NA,NA
